TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
FactionIntro_Covenant_01_Container,ConsecutiveTaskContainer,,,,0,,,0,0,false,,,,,false,,false,0,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,,,,,false,,,,,,,,,,,FactionIntro_Covenant_01_Task1,FactionIntro_Covenant_01_SwapActive1,FactionIntro_Covenant_01_SwapActive2,FactionIntro_Covenant_01_Container2,FactionIntro_Covenant_01_Task5
FactionIntro_Covenant_01_Task1,TaskConversationState,,,,0,9804_Feldan,,0,0,false,,,,,false,,false,0,,,,,9804_Feldan_Default,,,,0,,,,,,,,,,,,,0,0,,,,@FactionIntro_Covenant_01_Feldan,,,,false,,,,,,,,,,,,,,,
FactionIntro_Covenant_01_SwapActive1,TaskUnlockAchievement,,,,1,SwapActive_9801_Florina_01_On,,0,0,false,,,,,false,,false,0,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,,,,1,false,,,,,,,,,,,,,,,
FactionIntro_Covenant_01_SwapActive2,TaskUnlockAchievement,,,,1,SwapActive_9801_Florina_00_Off,,0,0,false,,,,,false,,false,0,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,,,,1,false,,,,,,,,,,,,,,,
FactionIntro_Covenant_01_Container2,SimpleTaskContainer,,,,0,,,0,0,false,,,,,false,,false,0,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,@FactionIntro_Covenant_01_Container,,,,false,,,,,,,,,,,FactionIntro_Covenant_01_Task2,FactionIntro_Covenant_01_Task3,FactionIntro_Covenant_01_Task4,,
FactionIntro_Covenant_01_Task2,TaskHaveAndReturnItems,,,,1,FactionIntro_Covenant_01_Keepsakes,,0,20,true,,withered_farm_3_40149,,,true,,false,3,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,@FactionIntro_Covenant_01_Junk,,,,false,,,,,,,,,,,,,,,
FactionIntro_Covenant_01_Task3,TaskHaveAndReturnItems,,,,1,FactionIntro_Covenant_01_Locket,Withered,10,0,true,,withered_farm_3_40149,,,true,,false,9,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,@FactionIntro_Covenant_01_Locket,,,,false,,,,,,,,,,,,,,,
FactionIntro_Covenant_01_Task4,TaskGatherAndReturnItems,,,,1,FactionIntro_Covenant_01_Crest,98_Covenant_01_Crest,100,0,true,,withered_farm_3_40149,,,true,,false,0,,,,IO_98_Covenant_01_Crest,,,,,0,,,,,,,,,,,,,0,0,,,,@FactionIntro_Covenant_01_Crest,,,,false,,,,,,,,,,,,,,,
FactionIntro_Covenant_01_Task5,TaskConversationState,,,,0,9804_Feldan,,0,0,false,,,,,false,,false,0,,,,,9804_Feldan_3,,,,0,,,,,,,,,,,,,0,0,,,,@FactionIntro_Covenant_01_Feldan2,,,,false,,,,,,,,,,,,,,,
FactionIntro_Covenant_Vector_01_Container,ConsecutiveTaskContainer,,,,0,,,0,0,false,,,,,false,,false,0,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,@FactionIntro_Covenant_Vector_01_Container,,,,false,,,,,,,,,,,FactionIntro_Covenant_Vector_01_ShrineDiscover,FactionIntro_Covenant_Vector_01_ShrineUnlock,FactionIntro_Covenant_Vector_01_Container2,,
